year,gear,flag_iso2,fleet,species,catch,units,flag_name,flag_iso3,is_SID
1994,L,AU,JV,fal,0,mt,Australia,AUS,FALSE
1994,L,AU,AU,thr,0,mt,Australia,AUS,FALSE
1994,L,AU,JV,thr,0,mt,Australia,AUS,FALSE
1995,L,AU,AU,alb,438,mt,Australia,AUS,FALSE
1995,L,AU,JV,alb,19,mt,Australia,AUS,FALSE
1995,L,AU,AU,bet,172,mt,Australia,AUS,FALSE
1995,L,AU,JV,bet,0,mt,Australia,AUS,FALSE
1995,L,AU,AU,pbf,0,mt,Australia,AUS,FALSE
1995,L,AU,JV,pbf,0,mt,Australia,AUS,FALSE
1995,L,AU,AU,skj,15,mt,Australia,AUS,FALSE
1995,L,AU,JV,skj,0,mt,Australia,AUS,FALSE
1995,L,AU,AU,yft,1313,mt,Australia,AUS,FALSE
1995,L,AU,JV,yft,0,mt,Australia,AUS,FALSE
1995,L,AU,AU,blm,2,mt,Australia,AUS,FALSE
1995,L,AU,JV,blm,0,mt,Australia,AUS,FALSE
1995,L,AU,AU,bum,4,mt,Australia,AUS,FALSE
1995,L,AU,JV,bum,0,mt,Australia,AUS,FALSE
1995,L,AU,AU,mls,87,mt,Australia,AUS,FALSE
1995,L,AU,JV,mls,0,mt,Australia,AUS,FALSE
1995,L,AU,AU,swo,69,mt,Australia,AUS,FALSE
1995,L,AU,JV,swo,0,mt,Australia,AUS,FALSE
1995,L,AU,AU,ham,0,mt,Australia,AUS,FALSE
1995,L,AU,JV,ham,0,mt,Australia,AUS,FALSE
1995,L,AU,AU,mak,0,mt,Australia,AUS,FALSE
1995,L,AU,JV,mak,0,mt,Australia,AUS,FALSE
1995,L,AU,AU,ocs,0,mt,Australia,AUS,FALSE
1995,L,AU,JV,ocs,0,mt,Australia,AUS,FALSE
1995,L,AU,AU,por,0,mt,Australia,AUS,FALSE
1995,L,AU,JV,por,0,mt,Australia,AUS,FALSE
1995,L,AU,AU,fal,0,mt,Australia,AUS,FALSE
1995,L,AU,JV,fal,0,mt,Australia,AUS,FALSE
1995,L,AU,AU,thr,0,mt,Australia,AUS,FALSE
1995,L,AU,JV,thr,0,mt,Australia,AUS,FALSE
1996,L,AU,AU,alb,408,mt,Australia,AUS,FALSE
1996,L,AU,AU,bet,293,mt,Australia,AUS,FALSE
1996,L,AU,AU,pbf,0,mt,Australia,AUS,FALSE
1996,L,AU,AU,skj,11,mt,Australia,AUS,FALSE
1996,L,AU,AU,yft,1660,mt,Australia,AUS,FALSE
1996,L,AU,AU,blm,5,mt,Australia,AUS,FALSE
1996,L,AU,AU,bum,9,mt,Australia,AUS,FALSE
1996,L,AU,AU,mls,138,mt,Australia,AUS,FALSE
1996,L,AU,AU,swo,639,mt,Australia,AUS,FALSE
1996,L,AU,AU,ham,0,mt,Australia,AUS,FALSE
1996,L,AU,AU,mak,30,mt,Australia,AUS,FALSE
1996,L,AU,AU,ocs,0,mt,Australia,AUS,FALSE
1996,L,AU,AU,por,0,mt,Australia,AUS,FALSE
1996,L,AU,AU,fal,0,mt,Australia,AUS,FALSE
1996,L,AU,AU,thr,0,mt,Australia,AUS,FALSE
1997,L,AU,AU,alb,258,mt,Australia,AUS,FALSE
1997,L,AU,AU,bet,808,mt,Australia,AUS,FALSE
1997,L,AU,AU,pbf,1,mt,Australia,AUS,FALSE
1997,L,AU,AU,skj,8,mt,Australia,AUS,FALSE
1997,L,AU,AU,yft,1680,mt,Australia,AUS,FALSE
1997,L,AU,AU,blm,0,mt,Australia,AUS,FALSE
1997,L,AU,AU,bum,0,mt,Australia,AUS,FALSE
1997,L,AU,AU,mls,198,mt,Australia,AUS,FALSE
1997,L,AU,AU,swo,2126,mt,Australia,AUS,FALSE
1997,L,AU,AU,ham,0,mt,Australia,AUS,FALSE
1997,L,AU,AU,mak,46,mt,Australia,AUS,FALSE
1997,L,AU,AU,ocs,0,mt,Australia,AUS,FALSE
1997,L,AU,AU,por,0,mt,Australia,AUS,FALSE
1997,L,AU,AU,fal,0,mt,Australia,AUS,FALSE
1997,L,AU,AU,thr,0,mt,Australia,AUS,FALSE
1998,L,AU,AU,alb,478,mt,Australia,AUS,FALSE
1998,L,AU,AU,bet,1166,mt,Australia,AUS,FALSE
1998,L,AU,AU,pbf,3,mt,Australia,AUS,FALSE
1998,L,AU,AU,skj,15,mt,Australia,AUS,FALSE
1998,L,AU,AU,yft,2152,mt,Australia,AUS,FALSE
1998,L,AU,AU,blm,1,mt,Australia,AUS,FALSE
1998,L,AU,AU,bum,0,mt,Australia,AUS,FALSE
1998,L,AU,AU,mls,447,mt,Australia,AUS,FALSE
1998,L,AU,AU,swo,2560,mt,Australia,AUS,FALSE
1998,L,AU,AU,ham,0,mt,Australia,AUS,FALSE
1998,L,AU,AU,mak,81,mt,Australia,AUS,FALSE
1998,L,AU,AU,ocs,3,mt,Australia,AUS,FALSE
1998,L,AU,AU,por,0,mt,Australia,AUS,FALSE
1998,L,AU,AU,fal,0,mt,Australia,AUS,FALSE
1998,L,AU,AU,thr,0,mt,Australia,AUS,FALSE
1999,L,AU,AU,alb,373,mt,Australia,AUS,FALSE
1999,L,AU,AU,bet,891,mt,Australia,AUS,FALSE
1999,L,AU,AU,pbf,5,mt,Australia,AUS,FALSE
1999,L,AU,AU,skj,15,mt,Australia,AUS,FALSE
1999,L,AU,AU,yft,1839,mt,Australia,AUS,FALSE
1999,L,AU,AU,blm,0,mt,Australia,AUS,FALSE
1999,L,AU,AU,bum,0,mt,Australia,AUS,FALSE
1999,L,AU,AU,mls,490,mt,Australia,AUS,FALSE
1999,L,AU,AU,swo,2806,mt,Australia,AUS,FALSE
1999,L,AU,AU,ham,0,mt,Australia,AUS,FALSE
1999,L,AU,AU,mak,128,mt,Australia,AUS,FALSE
1999,L,AU,AU,ocs,8,mt,Australia,AUS,FALSE
1999,L,AU,AU,por,0,mt,Australia,AUS,FALSE
1999,L,AU,AU,fal,0,mt,Australia,AUS,FALSE
1999,L,AU,AU,thr,0,mt,Australia,AUS,FALSE
2000,L,AU,AU,alb,381,mt,Australia,AUS,FALSE
2000,L,AU,AU,bet,765,mt,Australia,AUS,FALSE
2000,L,AU,AU,pbf,8,mt,Australia,AUS,FALSE
2000,L,AU,AU,skj,15,mt,Australia,AUS,FALSE
2000,L,AU,AU,yft,1799,mt,Australia,AUS,FALSE
2000,L,AU,AU,blm,0,mt,Australia,AUS,FALSE
2000,L,AU,AU,bum,0,mt,Australia,AUS,FALSE
2000,L,AU,AU,mls,506,mt,Australia,AUS,FALSE
2000,L,AU,AU,swo,2696,mt,Australia,AUS,FALSE
2000,L,AU,AU,ham,0,mt,Australia,AUS,FALSE
2000,L,AU,AU,mak,138,mt,Australia,AUS,FALSE
2000,L,AU,AU,ocs,14,mt,Australia,AUS,FALSE
2000,L,AU,AU,por,0,mt,Australia,AUS,FALSE
2000,L,AU,AU,fal,0,mt,Australia,AUS,FALSE
